Exercise_Name;Description_URL;Exercise_Image;Exercise_Image1;muscle_gp_details;muscle_gp;equipment_details;Equipment;Rating;Description;Difficulty;Category;Exercise_Type;Goal_Tag
Kettlebell Pistol Squat;https://www.bodybuilding.com/exercises/kettlebell-pistol-squat;https://www.bodybuilding.com/exercises/exerciseImages/sequences/521/Male/m/521_2.jpg;;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/kettlebells;Kettlebells;9,1;The Kettlebell Pistol Squat targets your quadriceps and is categorized under strength training. It typically uses kettlebells equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Overhead dumbbell front raise;https://www.bodybuilding.com/exercises/standing-dumbbell-straight-arm-front-delt-raise-above-head;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17d-overhead-dumbbell-front-raise-m1-square-600x600.jpg;;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9,1;The Overhead dumbbell front raise targets your shoulders and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Biceps curl to shoulder press;https://www.bodybuilding.com/exercises/biceps-curl-to-shoulder-press;;;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9,1;The Biceps curl to shoulder press targets your biceps and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Weighted bench dip;https://www.bodybuilding.com/exercises/weighted-bench-dip;;;https://www.bodybuilding.com/exercises/muscle/triceps;Triceps;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;9,1;The Weighted bench dip targets your triceps and is categorized under strength training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Advanced;Strength;Compound;Muscle Gain
Barbell Hip Thrust;https://www.bodybuilding.com/exercises/barbell-hip-thrust;;;https://www.bodybuilding.com/exercises/muscle/glutes;Glutes;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;9,1;The Barbell Hip Thrust targets your glutes and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Forward lunge;https://www.bodybuilding.com/exercises/bodyweight-lunge;;;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;9;The Forward lunge targets your quadriceps and is categorized under strength training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Barbell Bench Press - Medium Grip;https://www.bodybuilding.com/exercises/barbell-bench-press-medium-grip;;;https://www.bodybuilding.com/exercises/muscle/chest;Chest;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;9;The Barbell Bench Press - Medium Grip targets your chest and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Chest dip;https://www.bodybuilding.com/exercises/dips-chest-version;;;https://www.bodybuilding.com/exercises/muscle/chest;Chest;https://www.bodybuilding.com/exercises/equipment/other;Other;9;The Chest dip targets your chest and is categorized under strength training. It typically uses other equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Seated dumbbell shoulder press;https://www.bodybuilding.com/exercises/dumbbell-shoulder-press;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9;The Seated dumbbell shoulder press targets your shoulders and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Barbell Curl;https://www.bodybuilding.com/exercises/barbell-curl;;;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;9;The Barbell Curl targets your biceps and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
EZ-Bar Skullcrusher;https://www.bodybuilding.com/exercises/ez-bar-skullcrusher;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-94s-ez-bar-skullcrusher-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-94s-ez-bar-skullcrusher-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/triceps;Triceps;https://www.bodybuilding.com/exercises/equipment/ez-curl-bar;E-Z Curl Bar;9;The EZ-Bar Skullcrusher targets your triceps and is categorized under strength training. It typically uses e-z curl bar equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
One-Arm Dumbbell Row;https://www.bodybuilding.com/exercises/one-arm-dumbbell-row;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13e-single-arm-bench-dumbbell-row-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13e-single-arm-bench-dumbbell-row-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/middle-back;Middle Back;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9;The One-Arm Dumbbell Row targets your middle back and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Alternating standing shoulder press;https://www.bodybuilding.com/exercises/standing-alternating-dumbbell-press;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-93d-alternating-standing-shoulder-press-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-93d-alternating-standing-shoulder-press-m3-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9;The Alternating standing shoulder press targets your shoulders and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Concentration curl;https://www.bodybuilding.com/exercises/concentration-curls;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-8e-concentration-curl-m1-square-600x600.jpg;;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9;The Concentration curl targets your biceps and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Decline Crunch;https://www.bodybuilding.com/exercises/decline-crunch;;;https://www.bodybuilding.com/exercises/muscle/abdominals;Abdominals;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;9;The Decline Crunch targets your abdominals and is categorized under endurance training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Endurance;Cardio;Stamina
Decline Dumbbell Flyes;https://www.bodybuilding.com/exercises/decline-dumbbell-flyes;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31n-decline-dumbbell-chest-fly-m2-square-600x600.jpg;;https://www.bodybuilding.com/exercises/muscle/chest;Chest;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9;The Decline Dumbbell Flyes targets your chest and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Single-arm incline rear delt raise;https://www.bodybuilding.com/exercises/dumbbell-lying-one-arm-rear-lateral-raise;;;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9;The Single-arm incline rear delt raise targets your shoulders and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Alternating dumbbell front raise;https://www.bodybuilding.com/exercises/front-dumbbell-raise;;;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9;The Alternating dumbbell front raise targets your shoulders and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Hanging toes-to-bar;https://www.bodybuilding.com/exercises/hanging-pike;;;https://www.bodybuilding.com/exercises/muscle/abdominals;Abdominals;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;9;The Hanging toes-to-bar targets your abdominals and is categorized under stamina training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Stamina;Compound;Stamina
Narrow-stance squat;https://www.bodybuilding.com/exercises/narrow-stance-squats;;;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;9;The Narrow-stance squat targets your quadriceps and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Kneeling cable oblique crunch;https://www.bodybuilding.com/exercises/oblique-cable-crunch;;;https://www.bodybuilding.com/exercises/muscle/abdominals;Abdominals;https://www.bodybuilding.com/exercises/equipment/cable;Cable;9;The Kneeling cable oblique crunch targets your abdominals and is categorized under endurance training. It typically uses cable equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Endurance;Cardio;Stamina
Reverse Grip Triceps Pushdown;https://www.bodybuilding.com/exercises/reverse-grip-triceps-pushdown;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m2-square-600x600.jpg;;https://www.bodybuilding.com/exercises/muscle/triceps;Triceps;https://www.bodybuilding.com/exercises/equipment/cable;Cable;9;The Reverse Grip Triceps Pushdown targets your triceps and is categorized under strength training. It typically uses cable equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Bear crawl sled drag;https://www.bodybuilding.com/exercises/bear-crawl-sled-drags-;;;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/other;Other;9;The Bear crawl sled drag targets your quadriceps and is categorized under strength training. It typically uses other equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Rocky Pull-Ups/Pulldowns;https://www.bodybuilding.com/exercises/rocky-pull-upspulldowns;;;https://www.bodybuilding.com/exercises/muscle/lats;Lats;https://www.bodybuilding.com/exercises/equipment/other;Other;9;The Rocky Pull-Ups/Pulldowns targets your lats and is categorized under strength training. It typically uses other equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Snatch-Grip Behind-The-Neck Overhead Press;https://www.bodybuilding.com/exercises/snatch-grip-behind-the-neck-overhead-press;https://www.bodybuilding.com/exercises/exerciseImages/sequences/4571/Male/m/4571_1.jpg;https://www.bodybuilding.com/exercises/exerciseImages/sequences/4571/Male/m/4571_2.jpg;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;9;The Snatch-Grip Behind-The-Neck Overhead Press targets your shoulders and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Box Squat with Bands;https://www.bodybuilding.com/exercises/box-squat-with-bands;https://www.bodybuilding.com/exercises/exerciseImages/sequences/666/Male/m/666_1.jpg;https://www.bodybuilding.com/exercises/exerciseImages/sequences/666/Male/m/666_2.jpg;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;9;The Box Squat with Bands targets your quadriceps and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Flexor Incline Dumbbell Curls;https://www.bodybuilding.com/exercises/flexor-incline-dumbbell-curls;https://www.bodybuilding.com/exercises/exerciseImages/sequences/285/Male/m/285_1.jpg;;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9;The Flexor Incline Dumbbell Curls targets your biceps and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Seated One-Arm Dumbbell Palms-Up Wrist Curl;https://www.bodybuilding.com/exercises/seated-one-arm-dumbbell-palms-up-wrist-curl;https://www.bodybuilding.com/exercises/exerciseImages/sequences/386/Male/m/386_1.jpg;;https://www.bodybuilding.com/exercises/muscle/forearms;Forearms;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9;The Seated One-Arm Dumbbell Palms-Up Wrist Curl targets your forearms and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;General Fitness
Thigh adductor;https://www.bodybuilding.com/exercises/thigh-adductor;;;https://www.bodybuilding.com/exercises/muscle/adductors;Adductors;https://www.bodybuilding.com/exercises/equipment/machine;Machine;9;The Thigh adductor targets your adductors and is categorized under strength training. It typically uses machine equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Machine Bicep Curl;https://www.bodybuilding.com/exercises/machine-bicep-curl;https://www.bodybuilding.com/exercises/exerciseImages/sequences/899/Male/m/899_2.jpg;;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/machine;Machine;9;The Machine Bicep Curl targets your biceps and is categorized under strength training. It typically uses machine equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Seated Palms-Down Barbell Wrist Curl;https://www.bodybuilding.com/exercises/seated-palms-down-barbell-wrist-curl;https://www.bodybuilding.com/exercises/exerciseImages/sequences/389/Male/m/389_1.jpg;https://www.bodybuilding.com/exercises/exerciseImages/sequences/389/Male/m/389_2.jpg;https://www.bodybuilding.com/exercises/muscle/forearms;Forearms;https://www.bodybuilding.com/exercises/finder;nan;9;The Seated Palms-Down Barbell Wrist Curl targets your forearms and is categorized under strength training. It typically uses nan equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;General Fitness
Single-arm incline rear delt raise;https://www.bodybuilding.com/exercises/dumbbell-lying-one-arm-rear-lateral-raise;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14n-single-arm-incline-rear-delt-raise-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14n-single-arm-incline-rear-delt-raise-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9;The Single-arm incline rear delt raise targets your shoulders and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Alternating dumbbell front raise;https://www.bodybuilding.com/exercises/front-dumbbell-raise;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14d-alternating-dumbbell-front-raise-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14d-alternating-dumbbell-front-raise-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9;The Alternating dumbbell front raise targets your shoulders and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Hanging toes-to-bar;https://www.bodybuilding.com/exercises/hanging-pike;https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-128c-hanging-toes-to-bar-m1-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-128c-hanging-toes-to-bar-m2-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/abdominals;Abdominals;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;9;The Hanging toes-to-bar targets your abdominals and is categorized under stamina training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Stamina;Compound;Stamina
Narrow-stance squat;https://www.bodybuilding.com/exercises/narrow-stance-squats;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30a-narrow-stance-squat-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30a-narrow-stance-squat-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;9;The Narrow-stance squat targets your quadriceps and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Kneeling cable oblique crunch;https://www.bodybuilding.com/exercises/oblique-cable-crunch;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-36c-kneeling-cable-oblique-crunch-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-36c-kneeling-cable-oblique-crunch-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/abdominals;Abdominals;https://www.bodybuilding.com/exercises/equipment/cable;Cable;9;The Kneeling cable oblique crunch targets your abdominals and is categorized under endurance training. It typically uses cable equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Endurance;Cardio;Stamina
Reverse Grip Triceps Pushdown;https://www.bodybuilding.com/exercises/reverse-grip-triceps-pushdown;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/triceps;Triceps;https://www.bodybuilding.com/exercises/equipment/cable;Cable;9;The Reverse Grip Triceps Pushdown targets your triceps and is categorized under strength training. It typically uses cable equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Bear crawl sled drag;https://www.bodybuilding.com/exercises/bear-crawl-sled-drags-;https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-153s-bear-crawl-sled-drag-m1-crop-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-153s-bear-crawl-sled-drag-m4-crop-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/other;Other;9;The Bear crawl sled drag targets your quadriceps and is categorized under strength training. It typically uses other equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Rocky Pull-Ups/Pulldowns;https://www.bodybuilding.com/exercises/rocky-pull-upspulldowns;https://www.bodybuilding.com/exercises/exerciseImages/sequences/279/Male/m/279_1.jpg;https://www.bodybuilding.com/exercises/exerciseImages/sequences/279/Male/m/279_2.jpg;https://www.bodybuilding.com/exercises/muscle/lats;Lats;https://www.bodybuilding.com/exercises/equipment/other;Other;9;The Rocky Pull-Ups/Pulldowns targets your lats and is categorized under strength training. It typically uses other equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Snatch-Grip Behind-The-Neck Overhead Press;https://www.bodybuilding.com/exercises/snatch-grip-behind-the-neck-overhead-press;;;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;9;The Snatch-Grip Behind-The-Neck Overhead Press targets your shoulders and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Box Squat with Bands;https://www.bodybuilding.com/exercises/box-squat-with-bands;;;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;9;The Box Squat with Bands targets your quadriceps and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Flexor Incline Dumbbell Curls;https://www.bodybuilding.com/exercises/flexor-incline-dumbbell-curls;;;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9;The Flexor Incline Dumbbell Curls targets your biceps and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Seated One-Arm Dumbbell Palms-Up Wrist Curl;https://www.bodybuilding.com/exercises/seated-one-arm-dumbbell-palms-up-wrist-curl;;;https://www.bodybuilding.com/exercises/muscle/forearms;Forearms;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9;The Seated One-Arm Dumbbell Palms-Up Wrist Curl targets your forearms and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;General Fitness
Machine Bicep Curl;https://www.bodybuilding.com/exercises/machine-bicep-curl;;;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/machine;Machine;9;The Machine Bicep Curl targets your biceps and is categorized under strength training. It typically uses machine equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Seated Palms-Down Barbell Wrist Curl;https://www.bodybuilding.com/exercises/seated-palms-down-barbell-wrist-curl;;;https://www.bodybuilding.com/exercises/muscle/forearms;Forearms;https://www.bodybuilding.com/exercises/finder;nan;9;The Seated Palms-Down Barbell Wrist Curl targets your forearms and is categorized under strength training. It typically uses nan equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;General Fitness
Car driver;https://www.bodybuilding.com/exercises/car-drivers;;;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/other;Other;9;The Car driver targets your shoulders and is categorized under strength training. It typically uses other equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Alternating Deltoid Raise;https://www.bodybuilding.com/exercises/alternating-deltoid-raise;;;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9;The Alternating Deltoid Raise targets your shoulders and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Hanging Oblique Knee Raise;https://www.bodybuilding.com/exercises/hanging-oblique-knee-raise;https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-120c-hanging-oblique-crunch-m1-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-120c-hanging-oblique-crunch-m2-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/abdominals;Abdominals;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;9;The Hanging Oblique Knee Raise targets your abdominals and is categorized under stamina training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Stamina;Isolation;Stamina
Bodyweight Flyes;https://www.bodybuilding.com/exercises/bodyweight-flyes;https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-182s-double-bar-roll-out-chest-fly-m1-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-182s-double-bar-roll-out-chest-fly-m2-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/chest;Chest;https://www.bodybuilding.com/exercises/equipment/ez-curl-bar;E-Z Curl Bar;9;The Bodyweight Flyes targets your chest and is categorized under strength training. It typically uses e-z curl bar equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Standing Calf Raises;https://www.bodybuilding.com/exercises/standing-calf-raises;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/calves;Calves;https://www.bodybuilding.com/exercises/equipment/machine;Machine;9;The Standing Calf Raises targets your calves and is categorized under stamina training. It typically uses machine equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Stamina;Isolation;Stamina
Push-Ups - Close Triceps Position;https://www.bodybuilding.com/exercises/push-ups-close-triceps-position;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104a-close-push-up-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104a-close-push-up-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/triceps;Triceps;https://www.bodybuilding.com/exercises/equipment/body-only;Body Only;9;The Push-Ups - Close Triceps Position targets your triceps and is categorized under strength training. It requires no equipment and can be performed using body weight. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
One-Arm Long Bar Row;https://www.bodybuilding.com/exercises/one-arm-long-bar-row;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m3-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/middle-back;Middle Back;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;9;The One-Arm Long Bar Row targets your middle back and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Overhead cable curl;https://www.bodybuilding.com/exercises/overhead-cable-curl;;;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/cable;Cable;9;The Overhead cable curl targets your biceps and is categorized under strength training. It typically uses cable equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Single-dumbbell front raise;https://www.bodybuilding.com/exercises/single-dumbbell-raise;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18d-single-dumbbell-front-raise-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18d-single-dumbbell-front-raise-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9;The Single-dumbbell front raise targets your shoulders and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Incline cable chest fly;https://www.bodybuilding.com/exercises/incline-cable-flye;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-10c-incline-cable-chest-fly-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-10c-incline-cable-chest-fly-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/chest;Chest;https://www.bodybuilding.com/exercises/equipment/cable;Cable;9;The Incline cable chest fly targets your chest and is categorized under strength training. It typically uses cable equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Muscle Gain
Single-leg depth squat;https://www.bodybuilding.com/exercises/single-leg-high-box-squat;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-68e-single-leg-depth-squat-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-68e-single-leg-depth-squat-m4-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/bands;Bands;9;The Single-leg depth squat targets your quadriceps and is categorized under strength training. It typically uses bands equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
